neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,distance_to_nearest_stn
0,11,1.31045,103.88148,1,4.094344562,1,49,3.663561646,365,-0.726379332
0,24,1.28175,103.84433,2,4.912654886,2,88,2.397895273,362,-1.18529559
0,38,1.31658,103.82714,2,5.768320996,7,24,2.995732274,305,-0.904228623
4,9,1.29882,103.76499,2,5.192956851,2,2,0,0,0.579104509
3,0,1.36573,103.83874,1,4.007333185,7,2,0,81,0.254674977
0,28,1.30008,103.79455,2,5.598421959,5,1,0,0,-0.70639175
2,31,1.311,103.82199,1,2.995732274,180,0,0,365,-0.663488086
0,6,1.31765,103.78716,1,4.143134726,3,67,2.890371758,324,0.158608259
1,25,1.36687,103.95896,2,5.529429088,4,0,0,0,0.243793829
0,19,1.29704,103.8886,2,5.370638028,4,5,0,0,0.197668852
0,20,1.29929,103.84774,1,4.700480366,90,4,0.693147181,365,-1.745520381
0,21,1.30479,103.83518,2,5.634789603,2,27,3.737669618,359,-1.081695103
0,23,1.30352,103.83483,2,5.768320996,1,15,3.737669618,362,-1.229188186
0,10,1.27414,103.84596,2,5.442417711,7,6,1.386294361,0,-1.333565578
0,30,1.30173,103.84917,1,3.871201011,12,1,1.791759469,315,-1.066242532
0,24,1.2851,103.84195,1,3.737669618,90,1,4.564348191,365,-1.696305859
0,24,1.28614,103.8421,1,4.59511985,90,2,4.564348191,358,-1.402751213
0,39,1.33305,103.87235,3,3.828641396,180,0,0,365,-0.887974626
0,11,1.31481,103.88611,2,4.787491743,7,22,4.521788577,89,-0.915133856
0,23,1.3069,103.83188,1,4.820281566,1,0,0,0,-1.123108544
0,2,1.35349,103.83274,1,4.094344562,1,3,2.197224577,365,-0.091618164
0,15,1.316,103.86134,1,5.010635294,1,0,2.197224577,364,-1.155479312
0,11,1.31114,103.88278,1,4.48863637,1,168,3.663561646,352,-0.603629714
0,24,1.28508,103.84292,3,3.218875825,2,0,0,0,-2.32852122
3,12,1.349,103.88105,1,3.33220451,10,8,2.079441542,365,-0.359986453
0,34,1.2873,103.84894,2,5.225746674,7,97,3.713572067,364,-1.232214365
0,38,1.31671,103.82831,2,4.976733742,7,20,2.995732274,345,-0.799088624
0,11,1.31091,103.88131,1,4.094344562,1,81,3.663561646,365,-0.620639512
0,11,1.3103,103.88191,1,4.094344562,1,40,3.663561646,365,-0.780610926
0,29,1.29435,103.83551,1,4.820281566,1,1,0,0,-0.268614893
0,28,1.30505,103.79822,1,4.219507705,4,1,0.693147181,79,-1.241577483
1,1,1.33199,103.94126,2,5.003946306,30,0,0,26,-0.256527259
